"Epochs","Supervised","All Views","Disease Counterfactuals","Scanner Counterfactuals","Rotation","Crop","Effects","DICE","DICE (pe)","DICE (nf)","Output Directory (pretraining)","Output Directory (transfer)","WandB URL (pretraining)","WandB URL (transfer)"
20.0,True,True,True,True,True,True,False,0.9353091716766356,0.918726646900177,0.9778875827789306,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-14_16-59-09","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-14_16-59-09","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/obca2xeh","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/drpixz43"
20.0,True,True,True,True,False,True,False,0.933919894695282,0.9179208159446716,0.9762969136238098,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_none_random_abl_data.train.augmentation.crop/2025-08-15_10-35-32","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_none_random_abl_data.train.augmentation.crop/2025-08-15_10-35-32","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/vy65mk5t","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/t5cfyon6"
20.0,True,True,True,True,False,True,True,0.9346946716308594,0.9178396224975586,0.9786428689956664,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.rotate/2025-08-14_16-59-09","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.rotate/2025-08-14_16-59-09","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/qimloocm","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/1dr6r131"
20.0,True,True,True,True,True,False,True,0.933452582359314,0.9164382696151734,0.9774492144584656,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.crop/2025-08-14_16-59-09","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.crop/2025-08-14_16-59-09","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/hg561o08","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/g6ctdgrz"
20.0,True,False,True,True,False,True,True,0.9333573579788208,0.916434895992279,0.9763668298721312,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.rotate/2025-08-18_11-28-39","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.rotate/2025-08-18_11-28-39","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/j1z7vgp6","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/9bhmdivq"
20.0,True,True,False,False,True,True,True,0.9330790877342224,0.9160630464553832,0.976931893825531,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_noflip_random/2025-08-14_17-59-37","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_noflip_random/2025-08-14_17-59-37","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/ehc2nx56","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/hxc4uuv1"
20.0,True,False,True,True,True,False,True,0.931858229637146,0.9149788856506348,0.9766104340553284,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.crop/2025-08-18_11-28-40","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.crop/2025-08-18_11-28-40","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/ngrobtxo","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/185ezapr"
20.0,True,False,False,False,False,False,True,0.9322791695594788,0.9146939516067504,0.977454137802124,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-18_20-36-21","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-18_20-36-21","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/hkkzs5as","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/8qvefpcq"
20.0,True,False,True,True,True,True,True,0.9314658403396606,0.9143374562263488,0.9761903285980223,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_noflip_random/2025-08-21_12-38-44","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_noflip_random/2025-08-21_12-38-44","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/74xgkw0n","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/zod4bv1m"
20.0,True,True,True,True,False,False,False,0.9309542059898376,0.9138704180717468,0.9740103483200072,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_none_random/2025-08-15_10-35-31","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_none_random/2025-08-15_10-35-31","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/ug81ufl0","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/hcxncdxr"
20.0,True,True,False,False,False,True,True,0.9318863987922668,0.9137592673301695,0.9785476684570312,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.rotate/2025-08-14_17-59-37","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.rotate/2025-08-14_17-59-37","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/5wbf7c26","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/rnaareee"
20.0,True,True,True,True,False,False,True,0.9306419134140016,0.9135263204574584,0.9758523821830748,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-14_16-59-09","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-14_16-59-09","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/3yefcsrv","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/y6odzalx"
20.0,True,False,True,True,False,True,False,0.930837380886078,0.9134186625480653,0.9766908884048462,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_none_random_abl_data.train.augmentation.crop/2025-08-19_18-37-48","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_none_random_abl_data.train.augmentation.crop/2025-08-19_18-37-48","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/ah1vsk5f","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/5ci4umhb"
20.0,True,False,True,True,True,True,False,0.9303881049156189,0.9118358969688416,0.9771911382675172,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-18_11-28-40","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-18_11-28-40","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/trrkpzev","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/kx6ikiep"
20.0,True,True,False,False,True,False,True,0.9298906683921814,0.9111611008644104,0.9777221798896788,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.crop/2025-08-14_17-59-37","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.crop/2025-08-14_17-59-37","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/e90sx65i","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/di0qkovs"
20.0,True,True,False,False,False,False,True,0.9290647983551026,0.911022126674652,0.9757549405097962,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-14_17-59-37","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-14_17-59-37","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/vued84qj","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/4ug2bme8"
20.0,True,False,True,True,True,False,False,0.929147469997406,0.9102770090103148,0.9776162147521972,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_none_random_abl_data.train.augmentation.rotate/2025-08-19_18-37-48","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_none_random_abl_data.train.augmentation.rotate/2025-08-19_18-37-48","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/8ujp3ad5","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/yat31icw"
20.0,True,False,True,True,False,False,False,0.9285203695297242,0.9096701622009278,0.9768266081809998,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_none_random/2025-08-21_12-46-29","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_none_random/2025-08-21_12-46-29","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/t4xl4ftb","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/3qrb4rr2"
20.0,True,False,False,False,True,True,True,0.927604615688324,0.9088112592697144,0.9751872539520264,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_noflip_random/2025-08-18_20-36-21","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_noflip_random/2025-08-20_10-56-18","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/4r4ygonb","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/ub47aft0"
20.0,True,False,False,False,True,False,False,0.9273422718048095,0.9086323976516724,0.9744577407836914,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_none_random_abl_data.train.augmentation.rotate/2025-08-19_18-13-08","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_none_random_abl_data.train.augmentation.rotate/2025-08-19_18-13-08","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/y30vikyp","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/mg2mk8ju"
20.0,True,True,False,False,True,False,False,0.92657710313797,0.9085170507431032,0.9727439284324646,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_none_random_abl_data.train.augmentation.rotate/2025-08-15_10-35-26","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_none_random_abl_data.train.augmentation.rotate/2025-08-15_10-35-26","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/8mfzq6rt","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/e1td64n2"
20.0,True,True,True,True,True,False,False,0.9276555895805358,0.9082933068275452,0.976647675037384,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_none_random_abl_data.train.augmentation.rotate/2025-08-21_12-48-16","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_none_random_abl_data.train.augmentation.rotate/2025-08-21_12-48-16","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/jqh8ayh6","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/0u3qyblc"
20.0,True,False,False,False,True,False,True,0.92696692943573,0.9076708436012269,0.977683162689209,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.crop/2025-08-18_20-36-22","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.crop/2025-08-18_20-36-22","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/rg87pv6r","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/xh6nduiz"
20.0,True,False,False,False,False,False,False,0.9214498281478882,0.9018075585365296,0.9722880005836488,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_none_random/2025-08-19_18-13-08","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_none_random/2025-08-19_18-13-08","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/zjupzqku","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/s9xkrt3f"
20.0,True,True,False,False,False,False,False,0.9196130752563476,0.8996925115585327,0.9715159177780152,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_none_random/2025-08-15_10-35-26","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_none_random/2025-08-15_10-35-26","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/k5nik85d","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/g8yiggll"
"","","","","","","","",0.8705256819725037,0.8476227998733521,0.9358694314956664,"","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/no_pretraining/2025-08-18_16-40-44","","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/7wsqpdyx"
